ward	year	id
50	2003	4317
49	2003	6961
48	2003	4932
47	2003	5285
46	2003	6617
45	2003	4902
44	2003	5963
43	2003	5824
42	2003	16395
41	2003	4548
40	2003	4784
39	2003	4265
38	2003	5409
37	2003	12915
36	2003	5179
35	2003	7181
34	2003	12341
33	2003	4859
32	2003	8846
31	2003	7008
30	2003	7101
29	2003	10945
28	2003	20813
27	2003	17806
26	2003	9930
25	2003	6791
24	2003	16752
23	2003	6792
22	2003	5127
21	2003	13480
20	2003	16181
19	2003	4365
18	2003	7039
17	2003	14598
16	2003	14471
15	2003	13076
14	2003	6410
13	2003	5975
12	2003	5788
11	2003	6997
10	2003	8184
9	2003	11608
8	2003	12062
7	2003	11862
6	2003	14007
5	2003	10972
4	2003	9244
3	2003	18524
2	2003	20083
1	2003	10357
50	2004	4754
49	2004	6945
48	2004	5045
47	2004	5067
46	2004	6606
45	2004	4544
44	2004	5932
43	2004	5758
42	2004	16191
41	2004	4200
40	2004	4821
39	2004	3978
38	2004	4819
37	2004	12413
36	2004	4591
35	2004	6962
34	2004	13436
33	2004	4491
32	2004	8030
31	2004	6611
30	2004	6685
29	2004	10632
28	2004	20895
27	2004	17813
26	2004	8885
25	2004	6599
24	2004	17613
23	2004	6704
22	2004	5217
21	2004	13872
20	2004	16229
19	2004	4183
18	2004	7484
17	2004	14990
16	2004	13849
15	2004	12988
14	2004	6047
13	2004	5982
12	2004	5759
11	2004	6756
10	2004	7915
9	2004	11518
8	2004	12269
7	2004	12014
6	2004	14717
5	2004	11225
4	2004	9479
3	2004	17182
2	2004	19013
1	2004	9593
50	2005	4818
49	2005	6885
48	2005	5141
47	2005	4939
46	2005	6555
45	2005	4409
44	2005	5268
43	2005	5181
42	2005	14856
41	2005	4137
40	2005	4915
39	2005	4088
38	2005	4858
37	2005	12235
36	2005	4467
35	2005	6093
34	2005	13239
33	2005	4685
32	2005	6995
31	2005	6268
30	2005	6423
29	2005	10064
28	2005	20630
27	2005	17584
26	2005	8362
25	2005	6085
24	2005	17098
23	2005	6178
22	2005	4965
21	2005	13579
20	2005	15908
19	2005	4193
18	2005	7709
17	2005	14954
16	2005	13759
15	2005	12590
14	2005	6277
13	2005	5532
12	2005	5508
11	2005	6555
10	2005	7293
9	2005	11223
8	2005	11803
7	2005	11585
6	2005	14486
5	2005	11194
4	2005	9507
3	2005	16175
2	2005	17693
1	2005	8682
50	2006	4967
49	2006	6489
48	2006	4653
47	2006	4913
46	2006	6139
45	2006	4444
44	2006	5181
43	2006	5333
42	2006	14819
41	2006	4622
40	2006	4997
39	2006	4234
38	2006	4534
37	2006	11525
36	2006	4388
35	2006	6031
34	2006	13413
33	2006	4622
32	2006	7319
31	2006	6209
30	2006	6166
29	2006	9941
28	2006	21597
27	2006	16297
26	2006	8088
25	2006	6041
24	2006	16625
23	2006	6365
22	2006	5011
21	2006	13201
20	2006	15738
19	2006	3823
18	2006	8028
17	2006	14648
16	2006	13416
15	2006	13171
14	2006	6206
13	2006	5999
12	2006	5569
11	2006	6467
10	2006	7737
9	2006	10824
8	2006	12106
7	2006	12160
6	2006	14332
5	2006	10648
4	2006	8254
3	2006	15483
2	2006	16904
1	2006	8313
50	2007	4193
49	2007	6218
48	2007	4161
47	2007	4294
46	2007	5846
45	2007	4148
44	2007	5413
43	2007	5648
42	2007	14701
41	2007	4537
40	2007	4600
39	2007	4049
38	2007	4516
37	2007	12090
36	2007	4445
35	2007	5551
34	2007	13606
33	2007	4066
32	2007	7631
31	2007	6056
30	2007	6117
29	2007	10257
28	2007	19584
27	2007	15313
26	2007	7297
25	2007	5833
24	2007	16127
23	2007	6275
22	2007	5202
21	2007	13821
20	2007	15340
19	2007	3845
18	2007	7903
17	2007	15450
16	2007	12864
15	2007	12885
14	2007	6033
13	2007	5589
12	2007	5375
11	2007	5687
10	2007	7365
9	2007	11363
8	2007	12501
7	2007	12046
6	2007	14582
5	2007	10423
4	2007	8817
3	2007	12856
2	2007	16253
1	2007	8106
50	2008	4391
49	2008	5915
48	2008	4077
47	2008	4296
46	2008	5523
45	2008	4588
44	2008	5638
43	2008	5529
42	2008	15114
41	2008	4591
40	2008	4529
39	2008	4308
38	2008	4760
37	2008	12040
36	2008	4745
35	2008	5467
34	2008	12484
33	2008	4204
32	2008	7777
31	2008	6004
30	2008	6210
29	2008	9835
28	2008	18911
27	2008	14479
26	2008	6974
25	2008	5534
24	2008	15549
23	2008	5731
22	2008	5086
21	2008	13132
20	2008	14198
19	2008	3959
18	2008	7808
17	2008	15078
16	2008	12413
15	2008	12867
14	2008	6003
13	2008	5816
12	2008	5107
11	2008	5793
10	2008	7152
9	2008	10548
8	2008	11987
7	2008	11594
6	2008	14414
5	2008	9978
4	2008	7481
3	2008	13193
2	2008	15798
1	2008	8287
50	2009	4199
49	2009	5423
48	2009	3595
47	2009	4174
46	2009	4738
45	2009	4088
44	2009	5292
43	2009	4871
42	2009	14096
41	2009	4016
40	2009	4056
39	2009	3886
38	2009	4519
37	2009	11504
36	2009	4730
35	2009	5293
34	2009	11842
33	2009	4024
32	2009	7080
31	2009	5977
30	2009	6026
29	2009	9440
28	2009	17712
27	2009	13775
26	2009	6935
25	2009	4997
24	2009	13885
23	2009	5329
22	2009	4569
21	2009	12167
20	2009	13565
19	2009	3556
18	2009	7021
17	2009	13446
16	2009	11267
15	2009	11405
14	2009	5639
13	2009	5306
12	2009	4475
11	2009	5414
10	2009	6888
9	2009	9934
8	2009	10459
7	2009	10986
6	2009	12880
5	2009	9224
4	2009	6578
3	2009	10836
2	2009	13642
1	2009	7723
50	2010	3964
49	2010	5138
48	2010	3600
47	2010	3880
46	2010	4619
45	2010	3680
44	2010	5155
43	2010	4680
42	2010	13445
41	2010	3511
40	2010	3786
39	2010	3689
38	2010	4017
37	2010	10361
36	2010	4095
35	2010	5160
34	2010	10718
33	2010	4100
32	2010	6586
31	2010	5502
30	2010	5407
29	2010	8932
28	2010	16889
27	2010	12979
26	2010	6735
25	2010	4854
24	2010	14193
23	2010	4287
22	2010	4379
21	2010	11177
20	2010	12673
19	2010	3368
18	2010	6668
17	2010	12765
16	2010	10958
15	2010	11347
14	2010	5325
13	2010	4626
12	2010	4514
11	2010	5005
10	2010	6433
9	2010	9179
8	2010	9879
7	2010	9725
6	2010	12326
5	2010	9074
4	2010	6401
3	2010	9609
2	2010	13373
1	2010	7264
50	2011	3595
49	2011	4749
48	2011	3395
47	2011	3599
46	2011	4452
45	2011	3427
44	2011	5214
43	2011	4441
42	2011	13551
41	2011	3599
40	2011	3407
39	2011	3293
38	2011	3828
37	2011	9549
36	2011	3678
35	2011	4610
34	2011	10248
33	2011	3660
32	2011	6001
31	2011	4970
30	2011	5014
29	2011	8927
28	2011	15607
27	2011	11589
26	2011	6007
25	2011	4773
24	2011	13262
23	2011	4223
22	2011	4241
21	2011	10433
20	2011	11929
19	2011	2996
18	2011	6219
17	2011	12217
16	2011	10508
15	2011	10944
14	2011	5387
13	2011	4642
12	2011	4370
11	2011	4932
10	2011	6557
9	2011	8991
8	2011	9601
7	2011	9867
6	2011	11574
5	2011	8645
4	2011	6022
3	2011	9302
2	2011	12665
1	2011	6656
50	2012	3343
49	2012	4562
48	2012	3305
47	2012	3324
46	2012	4826
45	2012	3480
44	2012	5483
43	2012	4243
42	2012	13811
41	2012	3504
40	2012	3378
39	2012	3055
38	2012	3501
37	2012	9029
36	2012	3422
35	2012	4356
34	2012	9583
33	2012	3382
32	2012	5571
31	2012	4761
30	2012	4773
29	2012	8152
28	2012	15658
27	2012	11628
26	2012	5769
25	2012	4802
24	2012	13654
23	2012	4063
22	2012	3942
21	2012	9907
20	2012	10958
19	2012	2933
18	2012	5400
17	2012	11390
16	2012	9596
15	2012	9775
14	2012	4588
13	2012	4256
12	2012	4067
11	2012	4658
10	2012	6151
9	2012	8723
8	2012	9197
7	2012	9147
6	2012	11455
5	2012	8413
4	2012	5377
3	2012	8604
2	2012	12325
1	2012	6255
50	2013	3148
49	2013	4038
48	2013	2733
47	2013	3128
46	2013	4046
45	2013	3231
44	2013	4978
43	2013	3905
42	2013	13395
41	2013	3493
40	2013	3095
39	2013	2791
38	2013	3393
37	2013	8268
36	2013	3035
35	2013	3786
34	2013	8689
33	2013	2882
32	2013	4725
31	2013	4311
30	2013	4262
29	2013	7337
28	2013	15592
27	2013	10811
26	2013	4672
25	2013	4280
24	2013	13287
23	2013	3658
22	2013	3564
21	2013	9599
20	2013	9622
19	2013	2560
18	2013	4989
17	2013	10328
16	2013	8619
15	2013	8315
14	2013	4212
13	2013	3814
12	2013	3560
11	2013	4146
10	2013	5456
9	2013	7809
8	2013	8621
7	2013	8199
6	2013	10456
5	2013	7693
4	2013	4900
3	2013	8312
2	2013	11382
1	2013	5359
50	2014	2785
49	2014	3529
48	2014	2376
47	2014	2644
46	2014	3605
45	2014	2891
44	2014	4044
43	2014	3505
42	2014	11971
41	2014	3375
40	2014	2726
39	2014	2445
38	2014	2814
37	2014	7368
36	2014	2524
35	2014	3231
34	2014	7422
33	2014	2511
32	2014	4483
31	2014	3819
30	2014	3798
29	2014	6704
28	2014	14448
27	2014	9678
26	2014	3968
25	2014	3853
24	2014	12213
23	2014	3121
22	2014	3275
21	2014	8573
20	2014	8398
19	2014	2365
18	2014	4621
17	2014	9448
16	2014	7531
15	2014	6899
14	2014	3889
13	2014	3469
12	2014	3634
11	2014	3689
10	2014	5027
9	2014	7160
8	2014	7922
7	2014	7769
6	2014	8741
5	2014	6459
4	2014	4563
3	2014	7248
2	2014	10829
1	2014	4638
50	2015	2521
49	2015	3294
48	2015	2324
47	2015	2392
46	2015	3433
45	2015	2786
44	2015	3993
43	2015	3196
42	2015	12314
41	2015	3039
40	2015	2496
39	2015	2662
38	2015	2900
37	2015	6998
36	2015	2697
35	2015	3038
34	2015	6783
33	2015	2469
32	2015	4204
31	2015	3562
30	2015	3593
29	2015	6402
28	2015	12870
27	2015	8841
26	2015	3627
25	2015	3615
24	2015	11609
23	2015	3052
22	2015	3053
21	2015	8176
20	2015	7956
19	2015	2376
18	2015	4286
17	2015	9193
16	2015	6816
15	2015	6666
14	2015	3732
13	2015	3349
12	2015	3274
11	2015	3397
10	2015	4615
9	2015	6501
8	2015	7096
7	2015	7471
6	2015	8779
5	2015	6221
4	2015	4517
3	2015	6563
2	2015	10545
1	2015	4488